index,lat,lon,alt,X,Y,Z,psi,theta,phi,TAS,JSHead,JSPitch,JSRoll,throttle,thrust,fuel_flow,rudder,elevator,left_ail,right_ail,ground_speed,wind_speed,roll_rate,num_wp,x_wp,y_wp,z_wp,wp_dist,yaw_reff,wp_stat,ph_stat,wl_stat,yaw_error,JSRoll_Sim,Roll_lim_stat,KP,KD,error_rate
1.0,-31.508000000000006,118.73,2512.5,307.41,80.35,13.995,75.131,4.8881,-1.3101,76.714,-0.0039216,0.13725,-0.08015800000000001,0.6916100000000001,3146.6,0.089905,0.0,-4.7569,-0.98468,0.48214,76.714,0.0,-4.0764,1.0,3045.0,1575.0,1000.0,3119.0,61.367,1.0,0.0,0.0,13.764,-0.048175,0.0,-0.048175,0.0,0.0
4.0,-31.508000000000006,118.73,2517.9,417.62,109.53,19.493,74.352,5.8627,-4.6787,76.554,-0.0039216,0.13725,-0.019407,0.53195,1888.1,0.05879400000000001,0.0,-4.6796,-0.21554,0.097573,76.554,0.0,-1.3933,1.0,3045.0,1575.0,1000.0,3008.4,60.849,1.0,0.0,0.0,13.504,-0.047263,0.0,-0.047263,0.0,0.0
8.0,-31.507,118.73,2527.7,559.73,150.32,29.421,72.67,7.1732,-6.7881,75.292,-0.0039216,0.13725,0.0024286,0.49363,1441.2,0.048506,0.0,-4.6802,0.036425,-0.07245800000000001,75.292,0.0,-0.6078,1.0,3045.0,1575.0,1000.0,2864.7,60.177,1.0,0.0,0.0,12.494000000000002,-0.043728,0.0,-0.043728,0.0,0.0
12.0,-31.507,118.74,2541.6,714.89,200.41,43.39100000000001,70.498,8.07,-7.3133,73.361,-0.0039216,0.13725,-0.0042445,0.49363,1405.5,0.047695,0.0,-4.7686,-0.0446,0.012104,73.361,0.0,-0.22304,1.0,3045.0,1575.0,1000.0,2705.3,59.463,1.0,0.0,0.0,11.035,0.026101,0.0,-0.038622,0.064723,-2.1014
16.0,-31.507,118.74,2554.5,846.13,247.76,56.477,68.59,8.2417,-7.4211,71.563,-0.0039216,0.13725,-0.034081,0.49363,1409.2,0.047805,0.0,-4.8493,-0.47416,0.22688000000000005,71.563,0.0,-0.055051,1.0,3045.0,1575.0,1000.0,2568.4,58.885,1.0,0.0,0.0,9.7058,-0.03397,0.0,-0.03397,0.0,0.0
20.0,-31.506,118.74,2567.0,975.92,299.54,69.05199999999999,66.611,7.7715,-7.3292,69.848,-0.0039216,0.13725,-0.028973,0.49363,1415.2,0.047969,0.0,-4.9553,-0.41803,0.19882,69.848,0.0,0.42757,1.0,3045.0,1575.0,1000.0,2430.6,58.349,1.0,0.0,0.0,8.2626,-0.028919,0.0,-0.028919,0.0,0.0
24.0,-31.506,118.74,2577.9,1112.2,359.37,80.15100000000002,64.737,6.6157,-6.4753,68.36,-0.0039216,0.13725,0.006814100000000001,0.49363,1420.7,0.048116,0.0,-5.0079,0.051844000000000015,-0.1033,68.36,0.0,0.18123,1.0,3045.0,1575.0,1000.0,2283.3,57.832,1.0,0.0,0.0,6.9054,0.00016240000000000002,0.0,-0.024169,0.024331,-0.78997
28.0,-31.505,118.74,2584.7,1238.4,419.85,87.07700000000001,63.165,5.0237,-5.5732,67.482,-0.0039216,0.13725,0.005817899999999999,0.49363,1423.9,0.048202,0.0,-5.0647,0.044392,-0.088391,67.482,0.0,0.19783,1.0,3045.0,1575.0,1000.0,2144.3,57.405,1.0,0.0,0.0,5.7601,-0.02016,0.0,-0.02016,0.0,0.0
32.0,-31.504,118.74,2587.1,1356.6,480.12,89.662,61.88800000000001,3.2698,-4.5915,67.23899999999999,-0.0039216,0.13725,0.014615,0.49363,1424.7,0.048224,0.0,-5.0898,0.098805,-0.19722,67.23899999999999,0.0,0.61424,1.0,3045.0,1575.0,1000.0,2012.3,57.038,1.0,0.0,0.0,4.8507,0.013775,0.0,-0.016977000000000003,0.0,0.0
36.0,-31.504,118.74,2585.0,1487.1,549.93,87.73899999999998,60.81,1.3546,-3.387,67.663,-0.0039216,0.13725,0.011163,0.49363,1423.0,0.048179,0.0,-5.0695,0.07671599999999999,-0.15304,67.663,0.0,0.48926,1.0,3045.0,1575.0,1000.0,1864.9,56.655,1.0,0.0,0.0,4.1552,0.010161,0.0,-0.014543,0.0,0.0
